Genus,Order,Weight (kg),Color,Lifespan (years),Diet,Habitat,Conservation Status,Social Structure
Whale,Mammal,200 tons-57000,White/Gray/Blue-grey/Black,45-90,Omnivore/Filter Feeder/Carnivore,Oceans,Vulnerable/Endangered/Least Concern,Solitary
Wolf,Mammal,20-80,White/Gray/Reddish-Brown,13-8,Omnivore/Carnivore,Grasslands/Forests,Near Threatened/Least Concern,Group-based/Solitary
Yak,Mammal,1200-500,Black/Brown,20-25,Herbivore,Mountains,Least Concern,Group-based
Zebra,Mammal,350-900,White/Black,20-30,Herbivore,Grasslands,Endangered/Least Concern,Group-based/Herd-based
Anaconda,Reptile,97.5,Olive-green,10-15,Carnivore,Swamps/Marshes,Least Concern,Solitary
Cobra,Reptile,9,Olive-green,20-30,Carnivore,Grasslands/Forests,Vulnerable,Solitary
Dragon,Reptile,0.5-90,Various/Brown/Green/Grey,10-6,Omnivore/Carnivore,Woodlands/Grasslands/Islands/Deserts/Seaweed Beds,Vulnerable/Not Evaluated/Near Threatened,Solitary
Gecko,Reptile,250,Various,10-15,Insectivore,Rainforests/Madagascar,Not Evaluated,Solitary
Lizard,Reptile,0.5-166,Varies/Grey/Brown,10-15,Insectivore/Carnivore/Herbivore,Various/Northern Australia,Varies/Least Concern,Solitary
Python,Reptile,90,Black/Brown,20-25,Carnivore,Grasslands/Forests,Least Concern,Solitary
Tortoise,Reptile,417,Grey/Brown,100-150,Herbivore,Galápagos Islands,Vulnerable,Solitary
Tuatara,Reptile,1.5,Grayish-brown,100,Insectivore/Carnivore,Islands/Coastal Areas,Vulnerable,Solitary
Turtle,Reptile,16-68,Green/Gray/Greenish-brown/Brown,100-80,Omnivore/Herbivore,Freshwater/Oceans/Coastal Areas,Endangered/Least Concern,Solitary
Axolotl,Amphibian,300,Various,10-15,Carnivore,Lakes/Canals,Critically Endangered,Solitary
Frog,Amphibian,0.03-2.4,Various/Green/Red/Transparent,10-5,Insectivore,Rainforests/Amazon Rainforest,Not Evaluated/Near Threatened/Least Concern,Solitary
Salamander,Amphibian,55-65,Dark Brown/Yellow/Black,10-70,Carnivore,Freshwater/Forests/Caves,Critically Endangered/Near Threatened,Solitary
Booby,Bird,1.5-3,White/Blue,12-17,Piscivore,Coastal Areas,Least Concern,Group-based
Eagle,Bird,3-9,Black/White/Brown,20-35,Carnivore,Lakes/Coasts/Forests/Rainforests,Near Threatened/Least Concern,Solitary
Hummingbird,Bird,2-20,Various,3-5,Insects/Nectar,Americas,Least Concern,Solitary
Owl,Bird,1.6-3.3,White,10-15,Carnivore,North America/Arctic,Least Concern,Solitary
Penguin,Bird,1-45,Yellow/White/Black,15-20,Piscivore/Carnivore,Galápagos Islands/Coastal Areas/Antarctic,Endangered/Near Threatened,Colony-based/Solitary
Puffin,Bird,0.4-620,White/Black,20-25,Piscivore/Carnivore,North Atlantic/Arctic/Coastal Areas,Vulnerable/Least Concern,Colony-based/Social groups
Vulture,Bird,?,Brown/Black,?,Carnivore,Various,Varies,Social groups
Eel,Fish,20,Grayish-brown,10-15,Carnivore,Amazon Basin,Least Concern,Solitary
Shark,Fish,1500-800,White/Gray/Grey/Brown/Metallic Blue/Pinkish-gray/Yellowish,100-70,Filter Feeder/Carnivore,Coral Reefs/Oceans/Deep-sea,Vulnerable/Data Deficient/Endangered,Solitary
